hotel,price,score,avg review,reviews count
Rent a Room - Charon 3,"US$12,693",6.7,Review score,6
GuestReady - Charm and Confort in the 18th,"US$2,443",,,
Appartment next to l'arc,"US$2,942",,,
GuestReady - Bright Parisian Apt near Notre Dame,"US$2,507",,,
ZZZ poteau de Paris 4P,"US$5,678",7.3,Good,27
Maison le Bac Paris Aparthotel,"US$3,735",8.2,Very Good,612
Magnifique appartement moulin rouge,"US$2,452",,,
The Bastille Day apartment,"US$2,564",7.7,Good,3
Appartement République Paris 11e,"US$2,607",8.4,Very Good,7
Cozy studio in the heart of the 9th arrondissement,"US$3,976",,,
amazing place 4 person Paris 8,"US$15,892",,,
Cute studio in Bastille- Bail mobilité,"US$2,446",8.0,Very Good,1
GuestReady - Stylish Hideaway near Bercy Parc,"US$2,581",,,
GuestReady - Modern Apt for 2 in Paris,"US$3,102",,,
Hotel Regence Paris,"US$4,451",6.7,Review score,370
Apartment hotel with view of Paris next to subway,"US$2,622",7.6,Good,26
housewithgreenshutters,"US$5,360",,,
Auteuil Cozy Studio,"US$3,988",9.6,Exceptional,7
GuestReady - Artistic Gem in Central Paris,"US$4,326",,,
GuestReady - White Bliss in the 20th,"US$2,211",,,
GuestReady - My little comfort in the 10th,"US$2,443",1.0,Review score,1
Studette cosy entièrement rénovée,"US$2,621",6.6,Review score,11
PERE LACHAISE - MONTMARTRE Paris centre,"US$3,458",6.6,Review score,50
Studio Montmartre!,"US$1,638",,,
SAINT PAUL 22,"US$3,331",5.9,Review score,37
