hotel,price,score,avg review,reviews count
Cosy place in Paris,"US$2,396",8.0,Very Good,1
26 Faubourg - Ex-Hotel de Reims,"US$3,327",7.9,Good,822
Luxurious Flat next to Eiffel Tower (WiFi/Netflix),"US$23,076",8.8,Excellent,12
Hotel Migny Opéra Montmartre,"US$6,005",8.0,Very Good,"4,139"
Hôtel Saint-Pétersbourg Opéra & Spa,"US$20,034",8.6,Excellent,"4,347"
CMG Charonne / Voltaire III,"US$9,289",6.9,Review score,78
Luxe Apartment 165m2 8pers Victor Hugo trocadero foch Champs Elysées,"US$29,966",7.3,Good,9
Le berlier 13,"US$8,582",9.7,Exceptional,7
FINESTATE Coliving Champs-Elysées,"US$3,301",9.1,Wonderful,25
CMG Champs Elysées - Boetie 7,"US$14,434",7.6,Good,50
Rent a Room - Residence Meslay,"US$5,750",7.0,Good,106
CMG Montorgueil X,"US$6,753",7.0,Good,37
Rent a Room - Residence Blanche,"US$8,456",7.6,Good,112
ARC de TRIOMPHE - FOCH PALACE,"US$14,338",8.8,Excellent,18
CMG Jacques /Pantheon,"US$11,275",6.8,Review score,32
CMG Résidence République II - Rue Béranger,"US$15,296",7.2,Good,9
CMG Marais // République G,"US$12,612",8.1,Very Good,59
Amazing apartment 8P3BDR - MontmartreSacré cœur,"US$9,832",8.6,Excellent,21
Joyful apartment 2BR6P Heart of Paris - Louvre,"US$11,560",7.5,Good,33
"Luxury style appartement, Arc de Triomphe - Champs Elysées","US$20,334",7.8,Good,9
CMG Condorcet / Lentonnet I,"US$16,335",6.8,Review score,10
Appartement Paris Tour Eiffel,"US$24,446",8.6,Excellent,24
CMG - Nation Charonne G,"US$11,860",7.4,Good,21
CMG - MAGENTA / SAINT-VINCENT DE PAUL,"US$12,476",7.1,Good,16
CMG Place de la Nation I,"US$13,057",7.0,Good,16
